STAR version=2.7.10b
STAR compilation time,server,dir=2023-05-25T06:56:23+0000 :/opt/conda/conda-bld/star_1684997536154/work/source
##### Command Line:
/work/ugbogu/.conda/envs/rnaseq-star/bin/STAR-avx2 --runMode genomeGenerate --genomeDir /work/ugbogu/pipeline/data/reference/star_gencode_v44 --genomeFastaFiles /work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa --sjdbGTFfile /work/ugbogu/pipeline/data/reference/gencode_v44/gencode.v44.basic.annotation.gtf --sjdbOverhang 100 --runThreadN 12
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runMode                       genomeGenerate        ~RE-DEFINED
genomeDir                     /work/ugbogu/pipeline/data/reference/star_gencode_v44     ~RE-DEFINED
genomeFastaFiles              /work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa        ~RE-DEFINED
sjdbGTFfile                   /work/ugbogu/pipeline/data/reference/gencode_v44/gencode.v44.basic.annotation.gtf     ~RE-DEFINED
sjdbOverhang                  100     ~RE-DEFINED
runThreadN                    12     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
runThreadN                        12
genomeDir                         /work/ugbogu/pipeline/data/reference/star_gencode_v44
genomeFastaFiles                  /work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa   
sjdbGTFfile                       /work/ugbogu/pipeline/data/reference/gencode_v44/gencode.v44.basic.annotation.gtf
sjdbOverhang                      100

-------------------------------
##### Final effective command line:
/work/ugbogu/.conda/envs/rnaseq-star/bin/STAR-avx2   --runMode genomeGenerate      --runThreadN 12   --genomeDir /work/ugbogu/pipeline/data/reference/star_gencode_v44   --genomeFastaFiles /work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa      --sjdbGTFfile /work/ugbogu/pipeline/data/reference/gencode_v44/gencode.v44.basic.annotation.gtf   --sjdbOverhang 100
----------------------------------------

Number of fastq files for each mate = 1
ParametersSolo: --soloCellFilterType CellRanger2.2 filtering parameters:  3000 0.99 10
Finished loading and checking parameters
--genomeDir directory exists and will be overwritten: /work/ugbogu/pipeline/data/reference/star_gencode_v44/
Mar 18 04:33:38 ... starting to generate Genome files
